SDFB_ID,Prefix,First Name,Last Name,Suffix,Title,All Search Names,Gender,Historical Significance,Birth Year Type,Extant Birth Year,Alternate Birth Year,Death Year Type,Extant Death Year,Alternate Death Year
10000002,,Iaco,ab Dewi,,,Iaco ab Dewi,"male
",copyist and translator,IN,1647,1648,IN,1722,1722
10000004,,Dafydd,ab Ieuan ab Iorwerth,,,Dafydd ab Ieuan ab Iorwerth,"male
",abbot of Valle Crucis and bishop of St Asaph,AF,1393,NA,BF/IN,1503,1503
10000005,,Gruffudd,ab Ieuan ap Llywelyn Fychan,,,Gruffudd ab Ieuan ap Llywelyn Fychan,"male
",poet,IN,1485,1485,IN,1553,1553
10000006,,Tomas,ab Ieuan ap Rhys,,,Tomas ab Ieuan ap Rhys,"male
",poet,IN,1510,1510,IN,1560,1560
10000007,,Maredudd,ab Ieuan ap Robert,,,Maredudd ab Ieuan ap Robert,"male
",,IN,1465,1465,IN,1525,1525
10000016,,John,Abel,,,John Abel,"male
",master carpenter,IN,1578,1579,IN,1675,1675
10000015,,George,Abbott,,,George Abbott,"male
",writer and politician,IN,1604,1604,IN,1649,1649
10000021,,Jacob,Abendana,,,Jacob Abendana,"male
",leader of the Sephardi Jewish community in London,IN,1630,1630,IN,1685,1685
10000017,,Adam,Abell,,,Adam Abell,"male
",Franciscan friar and chronicler,IN,1475,1480,CA,1537,1537
10000030,,Josephus,Abudacnus,,,Josephus Abudacnus,"male
",scholar of oriental languages,IN,1595,1595,IN,1643,1643
10000025,,Robert,Abercromby,,,Robert Abercromby,"male
",Jesuit,IN,1536,1536,IN,1613,1613
10000032,Sir,John,Acland,,,John Acland,"male
",politician and benefactor,IN,1552,1552,IN,1620,1620
10000033,,John,Acland,,,John Acland,"male
",Church of England clergyman and writer on social issues,IN,1699,1699,IN,1796,1796
10000034,,Jacopo,Aconcio,,,Jacopo Aconcio,"male
",theologian and military engineer,CA,1520,1520,IN,1566,1567
10000036,Sir,Robert,Acton,,,Robert Acton,"male
",saddler and member of parliament,BF,1497,1497,IN,1558,1558
10000035,,Edward,Acton,,,Edward Acton,"male
",naval officer,AF,1597,NA,IN,1707,1707
10000023,,John,Abercromby,,,John Abercromby,"male
",Benedictine monk,BF,1561,1561,AF,1561,1561
10000008,,Dafydd,ab Owain,,,Dafydd ab Owain,"male
",abbot of Aberconwy and bishop of St Asaph,AF,1403,NA,IN,1513,1513
10000043,,Clement,Adams,,,Clement Adams,"male
",schoolmaster and map engraver,IN,1519,1519,IN,1587,1587
10000053,,Thomas,Adams,,,Thomas Adams,"male
",printer,BF/IN,1566,1566,IN,1620,1620
