Source,Source Name,Target,Target Name,Weight,Type
10000001,John A Lasco,10001715,Martin Bucer,78,Undirected
10000001,John A Lasco,10002977,Thomas Cranmer,72,Undirected
10000001,John A Lasco,10006152,John Hooper,73,Undirected
10000001,John A Lasco,10007040,John Knox,54,Undirected
10000001,John A Lasco,10012160,William Turner,52,Undirected
10000001,John A Lasco,10012316,Pietro Martire Vermigli,53,Undirected
10000002,Iaco ab Dewi,10006344,Stephen Hughes,46,Undirected
10000002,Iaco ab Dewi,10007415,Edward Lhuyd,46,Undirected
10000003,Dafydd ab Edmwnd,10000106,Tudur Aled,37,Undirected
10000003,Dafydd ab Edmwnd,10009189,Gutun Owain,43,Undirected
10000008,Dafydd ab Owain,10000106,Tudur Aled,57,Undirected
10000008,Dafydd ab Owain,10012118,Henry Tudor,57,Undirected
10000008,Dafydd ab Owain,10012119,Henry Tudor,35,Undirected
10000009,Jacques Abbadie,10006940,William King,12,Undirected
10000009,Jacques Abbadie,10008485,William Moreton,42,Undirected
10000009,Jacques Abbadie,10013308,William ,62,Undirected
10000010,George Abbot,10000011,John Abbot,52,Undirected
10000010,George Abbot,10000012,Maurice Abbot,91,Undirected
10000010,George Abbot,10000013,Robert Abbot,96,Undirected
10000010,George Abbot,10000014,Robert Abbot,83,Undirected
10000010,George Abbot,10000086,Henry Airay,96,Undirected
10000010,George Abbot,10000117,Francis Alford,22,Undirected
10000010,George Abbot,10000138,Thomas Allen,28,Undirected
10000010,George Abbot,10000139,Thomas Allen,22,Undirected
10000010,George Abbot,10000175,William Ames,27,Undirected
10000010,George Abbot,10000176,William Ames,57,Undirected
10000010,George Abbot,10000208,Lancelot Andrewes,94,Undirected
10000010,George Abbot,10000451,George Ayscue,50,Undirected
10000010,George Abbot,10000473,Francis Bacon,24,Undirected
10000010,George Abbot,10000474,Francis Bacon,18,Undirected
10000010,George Abbot,10000475,Francis Bacon,15,Undirected
10000010,George Abbot,10000504,Edward Bagshaw,16,Undirected
10000010,George Abbot,10000505,Edward Bagshaw,18,Undirected
10000010,George Abbot,10000596,Richard Bancroft,90,Undirected
10000010,George Abbot,10000648,Thomas Barker,51,Undirected
10000010,George Abbot,10000650,John Barkham,39,Undirected
10000010,George Abbot,10000665,William Barlow,16,Undirected
10000010,George Abbot,10000666,William Barlow,21,Undirected
10000010,George Abbot,10000772,John Bastwick,43,Undirected
10000010,George Abbot,10000810,Lewis Bayly,52,Undirected
10000010,George Abbot,10000874,William Bedell,56,Undirected
10000010,George Abbot,10000950,Sebastian Benefield,34,Undirected
10000010,George Abbot,10001067,Thomas Bilson,84,Undirected
10000010,George Abbot,10001099,William Bishop,50,Undirected
10000010,George Abbot,10001190,Richard Blount,52,Undirected
10000010,George Abbot,10001252,Robert Bolton,56,Undirected
10000010,George Abbot,10001508,Nathanael Brent,96,Undirected
10000010,George Abbot,10001563,John Brinsley,50,Undirected
10000010,George Abbot,10001605,Henry Brooke,53,Undirected
10000010,George Abbot,10001727,John Buckeridge,70,Undirected
10000010,George Abbot,10001751,John Bull,49,Undirected
10000010,George Abbot,10001782,John Burges,26,Undirected
10000010,George Abbot,10001827,Henry Burton,12,Undirected
10000010,George Abbot,10001867,James Butler,39,Undirected
10000010,George Abbot,10001880,Thomas Butler,15,Undirected
10000010,George Abbot,10001883,Walter Butler,16,Undirected
10000010,George Abbot,10001939,David Calderwood,23,Undirected
10000010,George Abbot,10001962,William Camden,51,Undirected
10000010,George Abbot,10002086,Dudley Carleton,85,Undirected
10000010,George Abbot,10002088,George Carleton,79,Undirected
10000010,George Abbot,10002120,Robert Carr,73,Undirected
10000010,George Abbot,10002171,Valentine Cary,35,Undirected
10000010,George Abbot,10002178,John Case,50,Undirected
10000010,George Abbot,10002251,William Cecil,51,Undirected
10000010,George Abbot,10002265,Edward Chaloner,44,Undirected
10000010,George Abbot,10002279,John Chamberlain,94,Undirected
10000010,George Abbot,10002307,Anthony Champney,54,Undirected
10000010,George Abbot,10002430,Gerard Christmas,12,Undirected
10000010,George Abbot,10002432,Matthias Christmas,34,Undirected
10000010,George Abbot,10002478,Gabriel Clarke,41,Undirected
10000010,George Abbot,10002572,Alexander Clogie,37,Undirected
10000010,George Abbot,10002641,Peter Cole,24,Undirected
10000010,George Abbot,10002665,Abraham Colfe,44,Undirected
10000010,George Abbot,10002816,John Copley,49,Undirected
10000010,George Abbot,10002849,Charles Cornwallis,12,Undirected
10000010,George Abbot,10002863,John Cosin,44,Undirected
10000010,George Abbot,10002896,William Cotton,67,Undirected
10000010,George Abbot,10003072,Thomas Crosfield,72,Undirected
10000010,George Abbot,10003299,John Davenant,48,Undirected
10000010,George Abbot,10003469,Robert Devereux,21,Undirected
10000010,George Abbot,10003470,Robert Devereux,22,Undirected
10000010,George Abbot,10003504,Dudley Digges,71,Undirected
10000010,George Abbot,10003508,Thomas Digges,21,Undirected
10000010,George Abbot,10003511,Francis Dillingham,25,Undirected
10000010,George Abbot,10003562,David Dolben,55,Undirected
10000010,George Abbot,10003570,Marco Antonio de Dominis,46,Undirected
10000010,George Abbot,10003652,George Downham,26,Undirected
10000010,George Abbot,10003653,John Downham,40,Undirected
10000010,George Abbot,10003790,Brian Duppa,40,Undirected
10000010,George Abbot,10003852,John Eaton,51,Undirected
10000010,George Abbot,10003868,Thomas Eden,16,Undirected
10000010,George Abbot,10003912,Stephen Egerton,13,Undirected
10000010,George Abbot,10004019,Ralph Eure,27,Undirected
10000010,George Abbot,10004158,Daniel Featley,94,Undirected
10000010,George Abbot,10004179,Nicholas Felton,55,Undirected
10000010,George Abbot,10004248,Anne Fiennes,20,Undirected
10000010,George Abbot,10004329,Thomas Fitzherbert,28,Undirected
10000010,George Abbot,10004396,Giles Fletcher,14,Undirected
10000010,George Abbot,10004408,John Flower,18,Undirected
10000010,George Abbot,10004413,John Floyd,51,Undirected
10000010,George Abbot,10004415,Robert Fludd,80,Undirected
10000010,George Abbot,10004520,Richard Fowns,53,Undirected
10000010,George Abbot,10004534,Samuel Foxe,21,Undirected
10000010,George Abbot,10004612,Thomas Fuller,39,Undirected
10000010,George Abbot,10004613,Thomas Fuller,51,Undirected
10000010,George Abbot,10004692,Henry Garnett,21,Undirected
10000010,George Abbot,10004718,Thomas Gataker,32,Undirected
10000010,George Abbot,10004755,Edward Gee,13,Undirected
10000010,George Abbot,10004756,Edward Gee,23,Undirected
10000010,George Abbot,10004894,Thomas Goad,22,Undirected
10000010,George Abbot,10004895,Thomas Goade,37,Undirected
10000010,George Abbot,10005054,Thomas Gouge,39,Undirected
